給,gěi,给,2,to give
給,jǐ,给,2,"to supply, to provide"
經,jīng,经,2,"classics, scripture; to pass through; to undergo"
羊,yáng,羊,2,<animal> sheep; goat
考,kǎo,考,2,"to test, to examine"
肉,ròu,肉,2,"meat, flesh"
舞,wǔ,舞,2,to dance; dance
色,sè,色,2,color; lust
著,zhe,着,2,[durative p.]
藥,yào,药,2,"medicine, drug"
蛋,dàn,蛋,2,egg
表,biǎo,表,2,"surface; to express, to show; list, form"
要,yào,要,2,to want
訴,sù,诉,2,to sue; to tell
試,shì,试,2,"to test, to try; test, examination"
課,kè,课,2,"lesson, class; to levy (tax), to impose (fine)"
讓,ràng,让,2,"to let, to allow"
貴,guì,贵,2,expensive
賓,bīn,宾,2,guest
賣,mài,卖,2,to sell
走,zǒu,走,2,to walk; to leave
足,zú,足,2,foot; enough
跑,pǎo,跑,2,to run
路,lù,路,2,road
跳,tiào,跳,2,to jump
踢,tī,踢,2,to kick
身,shēn,身,2,body
近,jìn,近,2,near
送,sòng,送,2,"deliver, send"
進,jìn,进,2,to enter
遊,yóu,游,2,to travel; to wander; to play around
運,yùn,运,2,to transport; to move
過,guò,过,2,"to pass, to cross; [experiential p.]"
道,dào,道,2,"way, path"
遠,yuǎn,远,2,far
還,hái,还,2,"still, yet"
還,huán,还,2,to return
邊,biān,边,2,edge
鉛,qiān,铅,2,lead
錯,cuò,错,2,wrong; mistake
錶,biǎo,表,2,watch; meter
長,cháng,长,2,long
長,zhǎng,长,2,to grow
門,mén,门,2,door
間,jiàn,间,2,"gap, opening; to separate"
間,jiān,间,2,"between, among; room; [m.w. (for rooms)]"
陰,yīn,阴,2,"shade, cloudy"
雖,suī,虽,2,although
雞,jī,鸡,2,chicken
離,lí,离,2,to leave
雪,xuě,雪,2,snow
零,líng,零,2,"to wither; remainder, extra; zero"
非,fēi,非,2,not; wrong; {transliteration} (short for) Africa
韆,qiān,千,2,"{bound} swing, hanging seat"
題,tí,题,2,title; to inscribe; topic; exam question
顏,yán,颜,2,face
館,guǎn,馆,2,hall
體,tǐ,体,2,body
魚,yú,鱼,2,fish
黑,hēi,黑,2,black
且,qiě,且,3,"moreover, temporary"
世,shì,世,3,world; generation
主,zhǔ,主,3,"master; main, dominant"
久,jiǔ,久,3,long (time)
乎,hū,乎,3,"in, at; {classical} [interrogative p.]"
乾,gān,干,3,dry
位,wèi,位,3,"position, seat"
信,xìn,信,3,trust; to trust; letter
借,jiè,借,3,to borrow
假,jià,假,3,vacation
假,jiǎ,假,3,"fake, false; {archaic} to borrow"
健,jiàn,健,3,healthy
傘,sǎn,伞,3,umbrella
像,xiàng,像,3,image; to resemble
元,yuán,元,3,origin; [unit of currency] yuan; <dynasty>
其,qí,其,3,it; its; that
典,diǎn,典,3,classic; code
冒,mào,冒,3,risk; brave
冬,dōng,冬,3,winter
冰,bīng,冰,3,ice
刮,guā,刮,3,to scrape
刷,shuā,刷,3,"brush, print"
刻,kè,刻,3,"carve, moment"
剛,gāng,刚,3,"strong, firm, hard; just, barely"
力,lì,力,3,"strength, power"
加,jiā,加,3,to add
努,nǔ,努,3,to exert effort
包,bāo,包,3,bag; to wrap
化,huà,化,3,"to change, to transform"
半,bàn,半,3,half
南,nán,南,3,south
卡,kǎ,卡,3,"card, block"
參,cān,参,3,to participate
又,yòu,又,3,"again, also"
叔,shū,叔,3,uncle
口,kǒu,口,3,mouth
句,jù,句,3,sentence
只,zhǐ,只,3,only
史,shǐ,史,3,history
向,xiàng,向,3,towards; direction
周,zhōu,周,3,"circle, cycle; to circle; thorough"
哭,kū,哭,3,to cry
啊,a,啊,3,[exc. (for surprise)] ah
啤,pí,啤,3,{transliteration} beer
單,dān,单,3,single
嘴,zuǐ,嘴,3,"mouth, beak"
噹,dāng,当,3,"[ono.] clang, ding-dong"
嚮,xiàng,向,3,"toward, direction"
園,yuán,园,3,"garden, park"
圖,tú,图,3,"picture, chart; to scheme, to attempt, to pursue"
地,de,地,3,[structural p.]
地,dì,地,3,"ground, earth"
城,chéng,城,3,city wall; city
境,jìng,境,3,"boundary, territory"
壞,huài,坏,3,broken; bad
夏,xià,夏,3,summer
奇,qí,奇,3,"strange, rare"
奇,jī,奇,3,odd (number); remainder
如,rú,如,3,"as, like"
姨,yí,姨,3,aunt; maternal aunt
婚,hūn,婚,3,marriage
季,jì,季,3,season; youngest
安,ān,安,3,"safe, peaceful"
定,dìng,定,3,"to decide, to fix; stable; fixed"
害,hài,害,3,to harm; harm
容,róng,容,3,"to contain; to tolerate, to allow; look, appearance"
實,shí,实,3,real; solid
居,jū,居,3,"to reside, to dwell"
層,céng,层,3,"layer, floor"
山,shān,山,3,mountain
差,chà,差,3,wrong; inferior
差,chā,差,3,different; difference; mistake
差,chāi,差,3,to dispatch; errand
己,jǐ,己,3,oneself; sixth (of heavenly stems)
市,shì,市,3,market; city
帶,dài,带,3,"to wear, to bring"
帽,mào,帽,3,hat
干,gān,干,3,"to offend; to interfere, to involve"
平,píng,平,3,flat; peaceful
幹,gàn,干,3,"to do, to manage"
康,kāng,康,3,healthy
張,zhāng,张,3,to stretch; <surname>
復,fù,复,3,to (go and) return; to repeat; to recover; to reply
心,xīn,心,3,heart
必,bì,必,3,"must, necessary"
忘,wàng,忘,3,to forget
怕,pà,怕,3,to be afraid (of)
急,jí,急,3,"urgent; hurried, worried"
怪,guài,怪,3,strange; monster
感,gǎn,感,3,to feel; emotion
愿,yuàn,愿,3,{archaic} honest and cautious
慣,guàn,惯,3,"habit, custom; to indulge, to spoil (child)"
應,yīng,应,3,should; to respond
成,chéng,成,3,"to achieve, to become"
或,huò,或,3,or; maybe
戲,xì,戏,3,"play, drama"
才,cái,才,3,"talent, ability; just now"
把,bǎ,把,3,to grasp; handle
拿,ná,拿,3,to hold; to take
掃,sǎo,扫,3,to sweep (with broom)
接,jiē,接,3,to connect
提,tí,提,3,to raise; to mention
換,huàn,换,3,"exchange, change"
搬,bān,搬,3,"move, shift"
擇,zé,择,3,"to choose, to select"
擔,dān,担,3,"to carry, to shoulder"
據,jù,据,3,"to rely on, to occupy"
放,fàng,放,3,to put; to release
故,gù,故,3,"cause, reason"
數,shù,数,3,number
數,shǔ,数,3,"to count, tp calculate"
文,wén,文,3,"writing, literature; culture"
料,liào,料,3,"material; to expect, to anticipate"
